ESTADO,DATA FINAL_ANO_MES,PREÇO MÉDIO REVENDA
ACRE,2018-10,5.3535
ACRE,2018-11,5.2197499999999994
ACRE,2018-12,5.033
ACRE,2018-5,5.053
ACRE,2018-6,5.0358
ACRE,2018-7,5.0335
ACRE,2018-8,5.02625
ACRE,2018-9,5.1442
ACRE,2019-5,5.087
ACRE,2019-6,5.0702
ACRE,2019-7,5.009
ACRE,2020-1,5.024
ACRE,2020-12,5.05025
ACRE,2021-1,5.1242
ACRE,2021-2,5.4815000000000005
ACRE,2021-3,6.22225
ACRE,2021-4,6.21875
ACRE,2021-5,6.258
ALAGOAS,2021-2,5.1899999999999995
ALAGOAS,2021-3,5.5845
ALAGOAS,2021-4,5.64725
ALAGOAS,2021-5,5.643
AMAZONAS,2021-2,5.014
AMAZONAS,2021-3,5.28625
AMAZONAS,2021-4,5.353
AMAZONAS,2021-5,5.493
BAHIA,2021-2,5.211
BAHIA,2021-3,5.6505
BAHIA,2021-4,5.4704999999999995
BAHIA,2021-5,5.251
CEARA,2021-2,5.1850000000000005
CEARA,2021-3,5.4375
CEARA,2021-4,5.49125
CEARA,2021-5,5.49
DISTRITO FEDERAL,2021-2,5.142666666666667
DISTRITO FEDERAL,2021-3,5.6405
DISTRITO FEDERAL,2021-4,5.6085
DISTRITO FEDERAL,2021-5,5.59
ESPIRITO SANTO,2021-2,5.172
ESPIRITO SANTO,2021-3,5.58775
ESPIRITO SANTO,2021-4,5.5912500000000005
ESPIRITO SANTO,2021-5,5.528
GOIAS,2021-2,5.371
GOIAS,2021-3,5.756
GOIAS,2021-4,5.70225
GOIAS,2021-5,5.726
MARANHAO,2021-2,5.252
MARANHAO,2021-3,5.33425
MARANHAO,2021-4,5.06525
MARANHAO,2021-5,5.081
MATO GROSSO,2021-3,5.46325
MATO GROSSO,2021-4,5.3655
MATO GROSSO,2021-5,5.449
MATO GROSSO DO SUL,2021-2,5.170999999999999
MATO GROSSO DO SUL,2021-3,5.60475
MATO GROSSO DO SUL,2021-4,5.606
MATO GROSSO DO SUL,2021-5,5.583
MINAS GERAIS,2021-2,5.1765
MINAS GERAIS,2021-3,5.679
MINAS GERAIS,2021-4,5.718
MINAS GERAIS,2021-5,5.798
PARA,2021-2,5.1715
PARA,2021-3,5.495
PARA,2021-4,5.48975
PARA,2021-5,5.447
PARAIBA,2021-2,5.027
PARAIBA,2021-3,5.203666666666667
PARAIBA,2021-4,5.25825
PARAIBA,2021-5,5.216
PARANA,2021-3,5.25975
PARANA,2021-4,5.19725
PARANA,2021-5,5.311
PERNAMBUCO,2021-2,5.105
PERNAMBUCO,2021-3,5.353
PERNAMBUCO,2021-4,5.311999999999999
PERNAMBUCO,2021-5,5.265
PIAUI,2021-2,5.2225
PIAUI,2021-3,5.7505
PIAUI,2021-4,5.63025
PIAUI,2021-5,5.55
RIO DE JANEIRO,2018-10,5.0912500000000005
RIO DE JANEIRO,2018-11,5.0616666666666665
RIO DE JANEIRO,2018-6,5.016
RIO DE JANEIRO,2018-9,5.046
RIO DE JANEIRO,2019-5,5.004
RIO DE JANEIRO,2019-6,5.044
RIO DE JANEIRO,2020-1,5.0745000000000005
RIO DE JANEIRO,2020-2,5.019
RIO DE JANEIRO,2020-3,5.012
RIO DE JANEIRO,2021-1,5.053
RIO DE JANEIRO,2021-2,5.3267500000000005
RIO DE JANEIRO,2021-3,5.99425
RIO DE JANEIRO,2021-4,6.0489999999999995
RIO DE JANEIRO,2021-5,6.099
RIO GRANDE DO NORTE,2021-1,5.172
RIO GRANDE DO NORTE,2021-2,5.21225
RIO GRANDE DO NORTE,2021-3,5.711
RIO GRANDE DO NORTE,2021-4,5.51825
RIO GRANDE DO NORTE,2021-5,5.428
RIO GRANDE DO SUL,2021-2,5.2059999999999995
RIO GRANDE DO SUL,2021-3,5.68775
RIO GRANDE DO SUL,2021-4,5.5424999999999995
RIO GRANDE DO SUL,2021-5,5.781
RONDONIA,2021-2,5.165
RONDONIA,2021-3,5.612500000000001
RONDONIA,2021-4,5.6335
RONDONIA,2021-5,5.629
RORAIMA,2021-3,5.2780000000000005
RORAIMA,2021-4,5.3454999999999995
RORAIMA,2021-5,5.364
SANTA CATARINA,2021-2,5.074
SANTA CATARINA,2021-3,5.28775
SANTA CATARINA,2021-4,5.13125
SANTA CATARINA,2021-5,5.051
SAO PAULO,2021-3,5.2139999999999995
SAO PAULO,2021-4,5.2177500000000006
SAO PAULO,2021-5,5.265
SERGIPE,2021-2,5.217
SERGIPE,2021-3,5.5432500000000005
SERGIPE,2021-4,5.63275
SERGIPE,2021-5,5.586
TOCANTINS,2018-10,5.06325
TOCANTINS,2018-11,5.053
TOCANTINS,2018-9,5.041
TOCANTINS,2021-1,5.02
TOCANTINS,2021-2,5.2485
TOCANTINS,2021-3,5.78475
TOCANTINS,2021-4,5.74375
TOCANTINS,2021-5,5.751
